"Assignment Fulfillment Entity 1","Assignment Fulfillment Entity 2","Role Demand type","Career Track","Location Radius","Source Location","Project Metro City","Project Supervising Entity","Sold","Client Contract Based","Assignment Title","Description","Requested Start Date","End Date","Status","Career Level From","Career Level To","Talent Segment","Assigned Role","Assignment Primary Specialization Level 1","Assignment Primary Specialization Level 2","Assignment Primary Specialization Level 3","Assignment Primary Specialization Level 4","Skill & Proficiency","Candidates"
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","Data Migration Consultant","Niche skills required: 
-	SAP MDG (Master Data Governance) 
-	SAP Information Stewart
-	Master Data Management (MDM)
-	SAP S/4HANA 1709
-	ERP implementation","2020-03-02T00:00","2021-04-30T00:00","Open - Confirming Candidate","9","9","Business Process Delivery               ","Data Management Practitioner","Technology","Technology Specialization L2","SAP","SAP Data Management"," 1 - SAP Information Steward Configuration and Development                           (P4 - Expert) | 2 - SAP Master Data Governance                                                      (P4 - Expert) | 3 - SAP Master Data Management & Architecture                                       (P4 - Expert)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","SAP Role Mapping","Analyze and design new business processes. Identify and define detailed product requirements and use cases. Serve as a liaison to the business community and participate in user and task analysis to maintain the business community's perspective.

The description has been defaulted based on the Assigned Role selected; modify as needed to indicate any project specific details","2020-11-01T00:00","2021-01-31T00:00","Open - New","9","9","Business & Technology Integration       ","Business Process Designer","Technology","Technology Specialization L2","SAP","SAP Acct and Financial Close"," 1 - SAP Analytics Cloud Development                                                 (P5 - Master) | 2 - SAP Business Planning and Consolidation                                         (P5 - Master)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Melbourne","Melbourne","Financial Services ","Yes","No","Pegasystems Platform-9-Bengaluru","Lead the effort to design, build and configure applications, acting as the primary point of contact.","2020-03-16T13:00","2020-10-29T13:00","Open - In Process","9","9","Software Engineering                    ","Application Lead","Technology","No Technology Category","No Technology Specialization",," 1 - Pegasystems System Administration                                               (P5 - Master) | 2 - Technology Architectures                                                        (P5 - Master) | 3 - Pegasystems Architecture                                                        (P3 - Advanced) | 4 - Pegasystems Platform                                                            (P3 - Advanced)",0
"Products "," PRD AAPAC OU ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","Oracle Retail Merchandising System-9-Pune","36944 |","2020-01-13T00:00","2020-05-29T00:00","Open - New","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Agile/DevOps","Agile Development"," 1 - Oracle Retail Merchandising System                                              (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","Virtual Agent Developer","IVR / VA developer to build the orchestration component layer and adaptors to IVR","2020-02-17T00:00","2020-02-26T00:00","Open - Need Project Feedback","9","9","Infrastructure                          ","Infrastructure Consulting Lead","Function","No Function Category","No Function Specialization",," 1 - Infrastructure Operations                                                       (P1 - Beginner) | 2 - Infrastructure Planning                                                         (P1 - Beginner) | 3 - Infrastructure Strategy                                                         (P1 - Beginner) | 4 - Requirements Analysis                                                           (P1 - Beginner)",3
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Financial Services ","Yes","No","Identity and Access Management-9-Gurugram","Define the security architecture, ensuring that it meets the business requirements and performance goals.","2020-05-02T13:00","2021-01-30T13:00","Open - In Process","9","9","Security                                ","Security Architect",,,,," 1 - ForgeRock OpenAM                                                                (P3 - Advanced) | 2 - Identity and Access Management                                                  (P3 - Advanced) | 3 - Splunk Security Information and Event Management (SIEM)                         (P3 - Advanced) | 4 - Java Programming language                                                       (P1 - Beginner)",0
"Accenture Technology "," Accenture Workday ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","WORKDAY - SEO Chapters - Corporate Systems - Software Engineer","Workday, Delboomi","2020-03-02T00:00","2020-06-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Workday","Workday Integration"," 1 - Dell Boomi                                                                      (P4 - Expert) | 2 - Workday Cloud Platform                                                          (P4 - Expert)",0
"Accenture Technology "," Accenture Workday ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","WORKDAY - SEO Chapters - Corporate Systems - Software Engineer","Workday, Delboomi","2020-03-02T00:00","2020-06-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Workday","Workday Integration"," 1 - Dell Boomi                                                                      (P4 - Expert) | 2 - Workday Cloud Platform                                                          (P4 - Expert)",0
"Accenture Technology "," Accenture Workday ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","WORKDAY - SEO Chapters - Corporate Systems - Software Engineer","Workday, Delboomi","2020-03-02T00:00","2020-06-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Workday","Workday Integration"," 1 - Dell Boomi                                                                      (P4 - Expert) | 2 - Workday Cloud Platform                                                          (P4 - Expert)",0
"Accenture Technology "," Accenture Workday ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","WORKDAY - SEO Chapters - Corporate Systems - Software Engineer","Workday, Delboomi","2020-03-02T00:00","2020-06-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Workday","Workday Integration"," 1 - Dell Boomi                                                                      (P4 - Expert) | 2 - Workday Cloud Platform                                                          (P4 - Expert)",0
"Accenture Technology "," Accenture Workday ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","WORKDAY - SEO Chapters - Corporate Systems - Software Engineer","Workday, Delboomi","2020-04-01T00:00","2020-06-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Workday","Workday Integration"," 1 - Dell Boomi                                                                      (P4 - Expert) | 2 - Workday Cloud Platform                                                          (P4 - Expert)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","SEO Chapters - CRM - Business Analyst / Manual Testing","Business Analysis, Salesforce, Manual Testing","2020-02-03T00:00","2020-07-03T00:00","Open - In Process","9","9","Business & Technology Integration       ","Business Analyst","Technology","Technology Specialization L2","Salesforce","Salesforce Platform Development"," 1 - CloudSense                                                                      (P4 - Expert) | 2 - Salesforce CPQ                                                                  (P4 - Expert) | 3 - Salesforce Development                                                          (P4 - Expert) | 4 - Salesforce Marketing Cloud                                                      (P4 - Expert) | 5 - Salesforce Shield                                                               (P4 - Expert)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","SEO Chapters - Data Interchangeá - Software Engineer","Design, build and configure applications to meet business process and application requirements.","2020-03-01T13:00","2020-08-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Billing Processing                                                              (P3 - Advanced) | 2 - API Management                                                                  (P2 - Intermediate) | 3 - AWS Administration                                                              (P2 - Intermediate) | 4 - IBM WebSphere DataPower                                                         (P2 - Intermediate) | 5 - Java Programming language                                                       (P2 - Intermediate)",6
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","SEO Chapters - Data Interchangeá - Software Engineer","Design, build and configure applications to meet business process and application requirements.","2020-03-31T13:00","2020-08-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Billing Processing                                                              (P3 - Advanced) | 2 - API Management                                                                  (P2 - Intermediate) | 3 - AWS Administration                                                              (P2 - Intermediate) | 4 - IBM WebSphere DataPower                                                         (P2 - Intermediate) | 5 - Java Programming language                                                       (P2 - Intermediate)",6
"Products "," PRD AAPAC OU ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","TOSCA Test Automation Lead","1.	To be able to independently manage stakeholders, communicate effectively, perform lead and manage activities for a team of 2-4 resources and be flexible to contribute as an individual contributor.
2.	Certified TOSCA Automation Engineer (Mandatory) or above
3.	To be able to solution/perform advance level of automation using TOSCA test suite.
4.	Required to manage providing solutions automation challenges in the project/platform.
5.	Required to manage complex automation problems using various automation engines, execution tasks.
6.	Must have experience in managing/providing automation solutions involving TBox, Classic steering, WIN 32, AnyUI, APIs – JSON, SOAP, Excel steering, PDF testing, imaged based controls, standard modules, automating test cases where custom controls are involved, multi-day scenarios.
7.	Harness the full power of TOSCA suite by implementing automation solutions to provide CI/CD with DevOps, Test Ops including solutioning customizations.","2020-04-01T00:00","2020-11-28T00:00","Open - New","9","9","Software Engineering                    ","Test Automation Lead","Technology","Technology Specialization L2","Testing","Test Automation"," 1 - Automated Testing                                                               (P3 - Advanced) | 2 - Automation Systems                                                              (P3 - Advanced) | 3 - Test & Diagnostics                                                              (P3 - Advanced) | 4 - Test Automation Strategy                                                        (P3 - Advanced) | 5 - Test Execution and Management                                                   (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Town","Melbourne","Melbourne","Health & Public Service ","Yes","No","IAM Consultant (CI-CD + Java Dev) Copy 01","IAM CI-CD + Java Dev | 10. Security, IDAM
Define the security architecture, ensuring that it meets the business requirements and performance goals.","2020-02-17T00:00","2020-07-31T00:00","Open - In Process","9","9","Security                                ","Security Architect","Technology","Technology Specialization L2","Security","Application Security Non ERP"," 1 - Application Security Architecture and Design                                    (P3 - Advanced)",0
"Communications, Media & Technology "," CMT AAPAC OU ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","Application Support Engineer","Analyze, Design, Code and test multiple components of application code across one or more clients. Perform maintenance, enhancements and/or development work.","2020-03-02T00:00","2021-03-31T00:00","Open - New","9","9","Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Application Remediation                                                         (P4 - Expert) | 2 - Engineering Technical Support                                                   (P4 - Expert) | 3 - Technology Troubleshooting                                                      (P4 - Expert) | 4 - Workday                                                                         (P4 - Expert) | 5 - Salesforce Administration                                                       (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","SEO Chapters - WFT - Appian Software Engineer","Workflow Content and Tooling 
Appian","2020-02-10T00:00","2020-06-30T00:00","Open - New","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Appian Process Automation                                                       (P4 - Expert)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","SEO Chapters - WFT - CPST - Appian Software Engineer","Workflow Content and Tooling 
Appian","2020-02-10T00:00","2020-06-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Appian Process Automation                                                       (P4 - Expert)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Communications, Media & Technology ","Yes","No","SEO Chapters - Data Interchange  - Software Engineer (Contractor)","Data Interchange 
Microservices, AWS, API, Java, DataPower, CIS","2020-02-17T00:00","2020-07-14T00:00","Open - New","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Custom Development","Java Enterprise Integration"," 1 - API Management                                                                  (P4 - Expert) | 2 - AWS Administration                                                              (P4 - Expert) | 3 - IBM WebSphere DataPower                                                         (P4 - Expert) | 4 - Java Programming language                                                       (P4 - Expert) | 5 - Microservices and Light Weight Architecture                                     (P4 - Expert)",0
"Accenture Digital "," Digital Delivery ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","Functional Deployment Analyst","Industry: Consumer Goods
 Prepare for and run workshops
 Understand & document business process
 Understand data migration & data structures, key role is to support business in source / target mapping & rule gathering exercise to support automated migration factory
 Schedule & coordinate training (train the trainer, so not actually give the training)
 Support Project manager in building, maintaining, & execute against a project plan
 Ability to effectively interact with business stakeholders","2020-03-02T00:00","2020-12-31T00:00","Open - Confirming Candidate","9","9","Business & Technology Integration       ","Business Analyst","Technology","Technology Specialization L2","Complex Program Del","Complex Program Delivery"," 1 - Agile Project Management                                                        (P2 - Intermediate) | 2 - Atlassian JIRA                                                                  (P2 - Intermediate) | 3 - Food and Non Alcoholic Beverages                                                (P2 - Intermediate) | 4 - Product Lifecycle Management                                                    (P2 - Intermediate) | 5 - Stakeholder Management                                                          (P2 - Intermediate)",3
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","Adobe AEM Senior Developer","1.	Expert level knowledge of AEM 6.3+ platform
2.	Deep knowledge of Adobe Experience Manager and AEM Core components (Example: Sling, OSGI, JCR, Dispatcher).
3.	Strong Java (OSGi, JSP, Servlets) and web development through Accessibility standards conformant pages using HTML5, JS, CSS3, jQuery, Bootstrap, etc and background with experience building cutting edge web & responsive mobile experiences. 
4.	Hands-on experience with Sightly (AEM Templating language) and CoralUI/TouchUI frameworks
5.	Experienced employing RESTful APIs with AEM components
6.	Experience in leveraging AEM Clientlibs and other AEM presentation layer related features
7.	Experience with JUnit or other testing frameworks in AEM & Passionate about code quality standards.
8.	Solid understanding of the Maven/Gradle build systems and understands packaging, build and deployments for Front-End and Backend code in AEM:
9.	Know what it takes to troubleshoot AEM apps.
10.	Expert in considering data and web security while devel","2020-02-24T00:00","2021-11-30T00:00","Open - Need Project Feedback","9","9","Software Engineering                    ","Application Lead","Technology","Technology Specialization L2","Complex Program Del","Complex Program Delivery"," 1 - Adobe Experience Manager                                                        (P4 - Expert)",2
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","React JS Senior Front End Developer","1.	Expert level knowledge of React JS framework and strong real time experience in developing React JS based applications with Redux or Flux 2.	Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model 3.	Strong expertise in working with Node JS, WebPack and other tools related to React Front End Development. 4.	Strong experience in integrating React components with  RESTful APIs. 5.	Experience in modern authorization mechanisms, such as JSON Web Token
6.	Experience in designing & developing reusable front-end frameworks, node modules and tools 7.	Translating designs and wireframes into high quality code 8.	Expert in HTML5 9.	Expert in CSS3 10.	Object Oriented JavaScript (ES5 & ES6) 11.	Experience in developing enterprise level responsive web pages or applications 12.	Understanding of the full web technology stack (e.g. HTTP, cookies, headers, asset loading/caching) 13.	Experience in implementing web accessibility using ARIA techniques is a plus","2020-02-24T00:00","2021-11-30T00:00","Open - In Process","9","9","Software Engineering                    ","Application Lead","Technology","Technology Specialization L2","Complex Program Del","Complex Program Delivery"," 1 - Adobe Experience Manager                                                        (P3 - Advanced)",1
"Other "," Affiliated Companies ","New","Client Delivery & Operations","In Country","Melbourne","Sydney","Other ","Yes","No","BHP Billiton A000202506 BHP China Project Manager Copy 01","Develop and execute activities related to end-to-end project management, including project plans and estimates, scoping and requirements through implementation and deployment. Proactively monitor, manage and report on execution of deliverables.","2020-02-17T00:00","2020-04-10T00:00","Open - Confirming Candidate","9","9","Delivery Management                     ","Program/Project Manager","Technology","Technology Specialization L2","Microsoft","Microsoft Development"," 1 - .NET Programming Language                                                       (P1 - Beginner) | 2 - Program and Project Management                                                  (P1 - Beginner)",2
"Other "," Affiliated Companies ","New","Client Delivery & Operations","In Country","Melbourne","Sydney","Other ","Yes","No","Treasury Wines A000217555 | TWE Multi Brand Website | TWE Application Developer","Design, build and configure applications to meet business process and application requirements.","2020-01-06T00:00","2020-02-07T00:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Microsoft","Microsoft Development"," 1 - .NET Programming Language                                                       (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Nashville","Nashville","Health & Public Service ","Yes","No","ASP.NET-9-Bengaluru","Design, build and configure applications to meet business process and application requirements.","2020-03-01T13:00","2020-12-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Microsoft","Microsoft Web Development"," 1 - Microsoft SQL Server Integration Services (SSIS)                                (P4 - Expert) | 2 - .NET Programming Language                                                       (P3 - Advanced) | 3 - ASP.NET                                                                         (P3 - Advanced) | 4 - Microsoft SQL Server                                                            (P3 - Advanced) | 5 - SQL (Structured Query Language)                                                 (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Nashville","Nashville","Health & Public Service ","Yes","No","Java Enterprise Edition-9-Hyderabad","Design, build and configure applications to meet business process and application requirements.","2020-05-21T13:00","2021-12-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Cascading Style Sheets (CSS)                                                    (P3 - Advanced) | 2 - HTML5                                                                           (P3 - Advanced) | 3 - Java Enterprise Edition                                                         (P3 - Advanced) | 4 - jQuery UI                                                                       (P3 - Advanced) | 5 - IBM Business Process Manager                                                    (P2 - Intermediate)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Nashville","Nashville","Health & Public Service ","Yes","No","Functional Test Planning-9-Hyderabad","Provide expertise in the planning, constructing and execution of test scripts. Apply business and functional knowledge including testing standards, guidelines, and testing methodology to meet the teams overall test objectives. Ensure all testing results are easily accessible and understandable. Track defects to closure and keep defect repository up-to-date.","2020-05-21T13:00","2021-12-30T13:00","Open - In Process","9","9","Software Engineering                    ","Tester","Technology","No Technology Category","No Technology Specialization",," 1 - API Testing                                                                     (P4 - Expert) | 2 - SoapUI                                                                          (P4 - Expert) | 3 - Functional Test Planning                                                        (P3 - Advanced)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","New York","Philadelphia","Communications, Media & Technology ","Yes","No","Spring Boot-9-Chennai","Design, build and configure applications to meet business process and application requirements.","2020-02-27T13:00","2020-08-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Standard Edition                                                           (P3 - Advanced) | 2 - Spring Boot                                                                     (P3 - Advanced) | 3 - Microservices and Light Weight Architecture                                     (P2 - Intermediate) | 4 - MongoDB                                                                         (P2 - Intermediate)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","New York","Philadelphia","Communications, Media & Technology ","Yes","No","Spring Boot-9-Chennai","Design, build and configure applications to meet business process and application requirements.","2020-02-27T13:00","2020-08-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Standard Edition                                                           (P3 - Advanced) | 2 - Spring Boot                                                                     (P3 - Advanced) | 3 - AWS DevOps & Development                                                        (P2 - Intermediate) | 4 - Kafka                                                                           (P2 - Intermediate)",1
"Other","Other","New","Client Delivery & Operations","Any Location Globally","London","London","Communications, Media & Technology ","Yes","Yes","Technical Architect","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.","2019-11-04T00:00","2020-12-02T00:00","Open - New","9","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","Oracle","Oracle Integration"," 1 - Technology Architectures                                                        (P4 - Expert) | 2 - Application Architectures                                                       (P3 - Advanced) | 3 - Architecture Design                                                             (P3 - Advanced) | 4 - Architecture Frameworks                                                         (P3 - Advanced) | 5 - Operations Architectures                                                        (P2 - Intermediate)",1
"Other","Other","New","Client Delivery & Operations","Any Location Globally","London","London","Communications, Media & Technology ","Yes","Yes","Technical Architect","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.","2019-11-04T00:00","2020-12-02T00:00","Open - New","9","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","Oracle","Oracle Integration"," 1 - Technology Architectures                                                        (P4 - Expert) | 2 - Application Architectures                                                       (P3 - Advanced) | 3 - Architecture Design                                                             (P3 - Advanced) | 4 - Architecture Frameworks                                                         (P3 - Advanced) | 5 - Operations Architectures                                                        (P2 - Intermediate)",0
"Other","Other","New","Client Delivery & Operations","Any Location Globally","London","London","Communications, Media & Technology ","Yes","Yes","Technical Architect","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.","2019-11-04T00:00","2020-12-02T00:00","Open - New","9","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","Oracle","Oracle Integration"," 1 - Technology Architectures                                                        (P4 - Expert) | 2 - Application Architectures                                                       (P3 - Advanced) | 3 - Architecture Design                                                             (P3 - Advanced) | 4 - Architecture Frameworks                                                         (P3 - Advanced) | 5 - Operations Architectures                                                        (P2 - Intermediate)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Philadelphia","Philadelphia","Products ","Yes","Yes","Machine Learning-9-Chennai","Lead the effort to design, build and configure applications, acting as the primary point of contact.","2020-03-30T13:00","2021-03-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Lead",,,,," 1 - Machine Learning                                                                (P3 - Advanced) | 2 - Solution Architecting                                                           (P3 - Advanced) | 3 - Configuration & Release Management                                              (P2 - Intermediate) | 4 - Design & Build Enablement                                                       (P2 - Intermediate)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Philadelphia","Philadelphia","Communications, Media & Technology ","Yes","No","Spring Application Framework-9-Chennai","Design, build and configure applications to meet business process and application requirements.","2020-02-27T13:00","2020-08-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Java Standard Edition                                                           (P3 - Advanced) | 2 - Spring Application Framework                                                    (P3 - Advanced) | 3 - Kafka                                                                           (P2 - Intermediate) | 4 - Pivotal Cloud Foundry                                                           (P2 - Intermediate)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Philadelphia","Philadelphia","Communications, Media & Technology ","Yes","No","Communication Order Management Solutions-9-Chennai","Design, build and configure applications to meet business process and application requirements.","2020-02-27T13:00","2020-08-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer",,,,," 1 - Communication Order Management Solutions                                        (P3 - Advanced) | 2 - Java Standard Edition                                                           (P3 - Advanced)",1
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Reading","Reading","Products ","Yes","Yes","Service Delivery-8-Gurugram","Develop and execute activities related to end-to-end project management, including project plans and estimates, scoping and requirements through implementation and deployment. Proactively monitor, manage and report on execution of deliverables.","2020-02-17T13:00","2021-09-13T13:00","Open - In Process","9","9","Program, Project & Service Mgmt         ","Program/Project Manager","Technology","No Technology Category","No Technology Specialization",," 1 - Infrastructure Service Management                                               (P3 - Advanced) | 2 - Service Delivery                                                                (P3 - Advanced) | 3 - Program and Project Management                                                  (P1 - Beginner) | 4 - Project Management Body of Knowledge (PMBOK)                                    (P1 - Beginner) | 5 - Risk Management                                                                 (P1 - Beginner) | 6 - Scope Management                                                                (P1 - Beginner)",11
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","Any Location Globally","Riyadh","Riyadh","Financial Services ","Yes","No","SAP BI- 9C","SAP BI","2020-05-03T00:00","2022-12-31T00:00","Open - In Process","9","9","Technology Architecture                 ","Application Integration Architect","Technology","Technology Specialization L2","SAP","SAP for Banking"," 1 - SAP CRM Billing                                                                 (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","San Francisco","San Francisco","Products ","Yes","No","Linux Operating System-9-Manila","Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge.","2020-01-12T08:00","2021-02-06T08:00","Open - Confirming Candidate","9","9","Information Technology Operations       ","SW/Application Tech Support Practitioner","Technology","No Technology Category","No Technology Specialization",," 1 - UNIX Platforms                                                                  (P5 - Master) | 2 - Data Center Networking Technologies Operations                                  (P3 - Advanced) | 3 - Linux Operating System                                                          (P3 - Advanced) | 4 - UNIX Oracle Solaris                                                             (P3 - Advanced)",4
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","San Francisco","San Francisco","Communications, Media & Technology ","Yes","No","Hadoop Administration-9-Bengaluru","Design, build and configure applications to meet business process and application requirements.","2020-03-08T13:00","2022-12-30T13:00","Open - In Process","9","9","Software Engineering                    ","Application Developer",,,,," 1 - Salesforce Development                                                          (P5 - Master) | 2 - Communications CRM                                                              (P3 - Advanced) | 3 - Hadoop Administration                                                           (P3 - Advanced) | 4 - Build Management                                                                (P1 - Beginner) | 5 - Configuration & Release Management                                              (P1 - Beginner) | 6 - Design & Build Enablement                                                       (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","San Francisco","San Francisco","Communications, Media & Technology ","Yes","Yes","Oracle NetSuite ERP Financial Management-9-Hyderabad","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-05-01T13:00","2020-11-29T13:00","Open - In Process","9","9","Software Engineering                    ","Application Support Engineer",,,,," 1 - Java Enterprise Edition                                                         (P3 - Advanced) | 2 - Oracle NetSuite ERP Financial Management                                        (P3 - Advanced) | 3 - Warehouse Management Systems (WMS)                                              (P1 - Beginner)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","Backfill","Client Delivery & Operations","Any Location Globally","San Francisco","San Francisco","Products ","Yes","No","Application Maintenance Lead","Lead the effort to design, build and configure applications, acting as the primary point of contact.","2020-03-31T08:00","2021-04-01T08:00","Open - In Process","9","9","Software Engineering                    ","Application Lead","Technology","No Technology Category","No Technology Specialization",," 1 - Critical Incident Management                                                    (P4 - Expert) | 2 - Oracle Retail Predictive Application Server                                     (P4 - Expert) | 3 - UNIX Shell Scripting                                                            (P4 - Expert) | 4 - JDA Enterprise Planning                                                         (P3 - Advanced) | 5 - Oracle Retail Demand Forecasting                                                (P3 - Advanced)",2
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","Seattle","Seattle","Communications, Media & Technology ","Yes","No","SAP UI5 Fiori Development (HTML5 & Java)-9-Hyderabad","Assist in defining requirements and designing applications to meet business process and application requirements.","2020-03-31T13:00","2020-06-29T13:00","Open - In Process","9","9","Software Engineering                    ","Application Designer","Technology","No Technology Category","No Technology Specialization",," 1 - Artificial Intelligence                                                         (P4 - Expert) | 2 - Machine Learning                                                                (P4 - Expert) | 3 - Java Deployment Technologies                                                    (P3 - Advanced) | 4 - SAP UI Development                                                              (P3 - Advanced) | 5 - SAP UI5 Fiori Development (HTML5 & Java)                                        (P3 - Advanced)",0
